"","data_ts","trend_cycle"
"183",99.8,99.8391667299408
"184",100,99.9537800684157
"185",100.1,100.104552953245
"186",100.2791,100.274274953851
"187",100.2,100.296034097315
"188",100.3721,100.278752451074
"189",100,100.067238112271
"190",100.186,100.06228485008
"191",99.8,99.7867819523436
"192",99.81396,99.6870609969229
"193",99.6,99.6201047583307
"194",99.4,99.5001989528427
"195",99.6,99.6978351113337
"196",99.5,99.5634765442911
"197",99.8,99.8499281775705
"198",99.9,99.8619975138616
"199",100.1,100.029283070914
"200",100.3,99.9906595792436
"201",100.1,100.113339597291
"202",100,100.105812233705
"203",99.9,100.232870732288
"204",100.3,100.368142942993
"205",100.6,100.532630105234
"206",101,100.843475368798
"207",101,100.825693696699
"208",101.4,101.302939562651
"209",101.2,101.31352235659
"210",101.1,101.278514331547
"211",101.2,101.341237798067
